"PGSC0003DMT400004539"	"PGSC0003DMT400006231"	"PGSC0003DMT400008092"	"PGSC0003DMT400008278"	"PGSC0003DMT400008547"	"PGSC0003DMT400013094"	"PGSC0003DMT400015224"	"PGSC0003DMT400017633"	"PGSC0003DMT400021019"	"PGSC0003DMT400021608"	"PGSC0003DMT400027201"	"PGSC0003DMT400027792"	"PGSC0003DMT400028434"	"PGSC0003DMT400030682"	"PGSC0003DMT400031370"	"PGSC0003DMT400031714"	"PGSC0003DMT400035714"	"PGSC0003DMT400036026"	"PGSC0003DMT400037483"	"PGSC0003DMT400041989"	"PGSC0003DMT400042362"	"PGSC0003DMT400045689"	"PGSC0003DMT400046308"	"PGSC0003DMT400046445"	"PGSC0003DMT400046899"	"PGSC0003DMT400048114"	"PGSC0003DMT400049097"	"PGSC0003DMT400049125"	"PGSC0003DMT400049172"	"PGSC0003DMT400052517"	"PGSC0003DMT400062379"	"PGSC0003DMT400066873"	"PGSC0003DMT400068776"	"PGSC0003DMT400068787"	"PGSC0003DMT400071445"	"PGSC0003DMT400071885"	"PGSC0003DMT400075512"	"PGSC0003DMT400080813"	"PGSC0003DMT400082012"	"PGSC0003DMT400082023"	"PGSC0003DMT400083025"	"PGSC0003DMT400083859"
"S11"	-0.192984083847769	-0.825031178193798	-0.589858417771214	0.120255086380353	0.517539423157892	-1.10878265416666	1.31440977205982	-0.270124826416638	-1.160828332177	-1.29665788270051	0.616392857254012	-1.61272583179789	-0.628007347061719	-0.0678594610000572	-0.10797532028223	-0.890936578234501	-1.6918910010876	-1.34526850743033	-0.30752900749787	-0.496879283010479	-0.987716216690493	-1.49714265569274	0.537478445950691	-0.920445344589458	-1.63946150983279	-0.600393865559462	-0.424856050367899	0.699009034414014	-0.667385682854515	-0.280518489076928	-1.09536153283998	0.40353815967996	-1.18726298021623	-1.53239447230498	-0.075735308776613	-0.26282665520176	-0.364568171076281	-0.257831965513704	0.930960171823003	0.97184847407405	-0.145819607217123	-0.5538136881504
"S12"	-0.0719100453642124	-0.692267542918619	-0.591685895617391	-0.195190558458487	0.482150713155128	-0.903607758584486	1.44258601123107	-0.26638686170298	-0.917913607068425	-1.22283140512641	0.629975104885874	-1.72991974415234	-0.624496057934795	-0.0656094875549652	NA	-0.791174560353967	-2.04187532247894	-1.58661020029656	-0.204017962051337	-0.641715876776762	-0.945235089474888	-1.62565710206413	0.523073332825681	-0.785409233877011	-1.6753673893681	-0.606816265259454	-0.286295480466217	0.463797817409482	-0.795994050584548	-0.278827227303789	-1.37932425661229	0.33717918269329	-1.27214222562614	-1.66221328164758	-0.00520691583500074	-0.250565026160876	-0.264289284693193	0.023405082162874	1.05141559366547	0.750887113974265	-0.171945022193314	-0.609112823096374
"S13"	0.753936171542847	-0.84326004958123	-0.584502191058363	-0.366542927847836	0.0655489052683379	-0.728902366588431	1.2047397281595	-0.440734780579181	-1.42365491212126	-1.27252400691814	0.0742312124032788	-2.17413774281134	0.0226012568169529	-0.104266630735649	-0.250415188480534	-2.1298336531995	-1.42846537145197	-1.40294404841957	-0.243075475126255	-0.706897675965386	-1.74824772966584	-0.544015763851528	0.43091954705556	-0.381930678136192	-1.50806522805541	-0.91545486932134	-0.663938889404162	0.585671542076521	-1.06147067283814	-0.110067478752094	-1.47757239464463	-0.0533519224190215	-0.586820122024976	-0.797711802997304	0.141435556875271	-0.390718345769615	-0.140357718975795	0.21805070107171	0.912949848212423	0.924207767990264	-0.0160792914458946	-0.897348517142142
"S14"	0.725649135425292	-0.861470708653926	-0.667693787055077	-0.231854732552878	0.0333532956870814	-0.760873407792924	1.22545947224605	-0.403878624605056	-1.34226528167859	-1.11505295846134	0.128832484561804	-1.97363535956437	0.147721514729727	-0.133373672561394	-0.248270801306422	-1.72561403686685	-1.30567628982561	-0.982204809014878	-0.244003099057893	-0.371773474537497	-1.85019831087235	-0.614129111686619	0.518420086410207	-0.317202154863539	-1.25292620162542	-1.02266655176207	-0.670253445108208	0.676627303721398	-0.966419699132247	-0.0164897458449825	-1.59653237472614	-0.0409658927324295	-0.441084727949141	-0.798799875916632	0.211905324225228	-0.345093487051793	-0.106125340443876	0.228028791822986	0.960204182296774	0.945833311333771	-0.0838361764749284	-0.81367587521236
"S15"	1.1310515738684	-0.609107705586447	-0.59772937381034	-0.0187830676094497	0.322744192341211	-0.798201804572746	-0.74853396249816	-0.222559302574268	-0.864786930343658	-1.0761707953589	0.444392821828992	-1.72095476985147	-0.276068287393527	-0.0521694013385541	-0.0284154254107051	-1.66655895066498	-1.44314111054308	-1.68829120914195	0.0448426322740902	-0.816211526123335	-1.20146881148411	-0.728820712202108	0.485815452322342	-0.822599382631325	-1.46278181261017	-1.39422494036766	-0.64857303904799	0.44388408113632	-1.1331340993784	-0.16874055788947	-2.25482484450163	0.0749983120897295	-0.859296143222747	-1.36726409189601	0.0223361246482718	-0.57162886906629	-0.484981599234352	-0.662632042935486	-1.14877772516307	1.06776031831004	-0.294852860152956	-0.257694921608176
"S16"	1.1285246528273	-0.394952332658629	-0.428364855997357	-0.0557944798038398	0.464014483748863	-0.571148199420714	-0.60976432726449	-0.0364527005224367	-1.02622758609578	-0.990028729117182	0.806013758732725	-1.95555113308985	-0.0610540758880803	0.0742661318827753	-0.0584191603360338	-1.58379022655468	-1.27044900715803	-1.33045813267366	0.168325362267951	-0.894268077196513	-0.724568437740857	-0.415833880367853	0.567878863152805	-0.343481019880019	-1.54496307668394	-1.69356834022344	-0.737586780933342	0.678480594889705	-1.12441694802146	-0.0637991684185407	-1.86435800929339	0.0740539057358322	-0.600389350109526	-0.937942412057431	-0.00597251037147168	-0.22544655652018	-0.334420017010533	-0.463727451647997	-0.877200278502357	1.25611140000954	-0.337908653630283	0.115782683734773
"S17"	0.634360886150203	-0.70491674807892	-0.695042663191145	-0.146808039207886	0.437449038176509	-1.38077695211387	-1.39180849733497	-0.521121680106293	-1.08938322764109	-1.05653603863421	-0.297502751947287	-1.29779622762912	0.385399446776228	0.120279319295003	0.195897452145805	-1.83036284239806	-1.39437959452794	-1.24023568009822	-0.0719060567167692	-1.03272817833714	-0.721758774276327	-1.30493214367633	0.43221021316197	-0.178241591355118	-1.24913713707	-0.701253514061685	-0.578614194858174	0.66806089313479	-1.17359937922804	-0.391736579729948	-1.37068251326927	0.334860122864195	-0.16364615201535	-0.401660635597003	-0.807327152603806	-0.127434049716946	-0.159077419771157	-0.851066208913791	0.414046063223605	1.08774637703966	-0.257159916048382	-0.469077206215939
"S18"	0.782456355392044	-0.571564824934712	-0.611725838716235	0.124112183714796	0.453589814999019	-1.31052001297084	-1.08568793392931	-0.842087838778115	-1.01367975278651	-1.06158717144646	-0.0345456754999054	-1.2669308695987	0.427554934794024	0.0496804100769063	0.208950865332784	-2.11631319197425	-1.3153551567612	-1.33619696851099	-0.0503452348223297	-0.588612153589164	-0.902099673563708	-1.13871888311546	0.564014240068472	-0.0668386682847594	-1.02204838666597	-0.614353830578382	-0.521578794154709	0.631774887972451	-1.06048510063233	-0.429492514361114	-1.38508875525676	0.37234392637928	-0.193421781461464	-0.439869620371643	-0.679775475416052	-0.021817224193246	-0.204503297661845	-1.03683919447293	0.621169902255205	1.14468875947447	-0.352706084097142	-0.295398702792594
"S19"	0.571306541198433	NA	-0.344509187830209	0.154616606780411	0.00452034167238996	-0.081388200550189	-1.55560614269564	-0.329105482952083	-1.23156390901312	-0.812580427058137	1.34201166390724	-1.43270221812594	0.490984513635387	0.0664548550402889	0.50574281020281	-2.0697738041296	-1.40211726953648	-0.782385011283071	-0.160102125876397	-0.98918117916439	-0.507897131366779	-0.249679922716124	0.568485288079071	-0.0496912471567496	-1.76747707424386	-0.880791716865626	-0.913474543494865	0.748053894912575	-1.03526796841056	-0.0473203349109002	-1.20096240377391	0.0167587161461083	-0.204561847996003	-0.456003172474256	-0.084813018810858	0.0397453666150102	-0.0257274533219232	-0.218949275608767	0.524947620836186	1.51036931164223	-0.00342504403316514	-0.09686023923733
"S20"	0.465385299091617	-2.61742345157378	-0.324822352916277	0.131617990369182	0.00721433436108493	-0.153765369210172	-1.11506101101372	-0.42690252753592	-1.36718236225218	-0.947126912482638	1.26639420837393	-1.38218509517609	0.51430086720704	-0.00793259193073958	0.365643224448296	-2.0870811474428	-1.33743698632063	-0.861872207410642	-0.395287755331298	-0.949369585950334	-0.603145656007325	-0.424995502513389	0.534371139077949	-0.115920179185292	-1.69934608418772	-0.848777703629254	-0.98154788630684	0.546663698950888	-1.05575057611803	-0.0236481638843728	-1.42068171411158	-0.0606275916417231	-0.303109962419021	-0.442211407965411	-0.0981852980207438	-0.129988515002653	-0.0726967872578799	-0.0874626095751934	0.577433780987677	1.36635784109406	-0.163912187274018	-0.438717954865731
